Team,Year,Team Valuation,Revenue,Operating Income,Player Expenses,Gate Receipts,Metro Area Population,Stadium Year Built,Stadium Age,Average Attendance,Average Ticket Price,Fan Cost Index,Record Percentage,# of All-Stars,MVP/Cy Young Winner,Playoff Appearance,World Series Championship
San Diego Padres,2009,401,174,22.9,86,67,3.0,2004,5,29970,27,201.72,0.3889,1,None,None,0
Arizona Diamondbacks,2018,1210,258,34.0,118,49,4.6,1998,20,26350,19,145.58,0.5741,3,None,NLDS,0
Arizona Diamondbacks,2017,1150,253,47.0,111,45,4.5,1998,19,25138,19,132.10,0.4259,1,None,None,0
Arizona Diamondbacks,2016,925,223,17.4,103,44,4.4,1998,18,25681,18,126.89,0.4877,2,None,None,0
Arizona Diamondbacks,2015,840,211,-2.2,125,42,4.3,1998,17,25602,18,126.89,0.3951,2,None,None,0
Arizona Diamondbacks,2014,585,192,-5.8,106,45,4.3,1998,16,26357,17,122.53,0.5000,2,None,None,0
Arizona Diamondbacks,2013,584,195,7.6,103,44,4.2,1998,15,26884,16,145.94,0.5000,1,None,None,0
Arizona Diamondbacks,2012,448,186,27.4,86,45,4.2,1998,14,25993,16,120.96,0.5802,2,None,NLDS,0
Arizona Diamondbacks,2011,396,180,6.2,102,39,4.1,1998,13,25391,14,115.24,0.4012,1,None,None,0
Arizona Diamondbacks,2010,379,172,-0.6,106,41,4.2,1998,12,26281,14,114.24,0.4321,2,None,None,0
Arizona Diamondbacks,2009,390,177,3.9,108,47,4.2,1998,11,30987,16,162.84,0.5062,2,None,None,0
San Francisco Giants,2018,2850,445,84.0,198,180,4.7,2000,18,40786,46,271.70,0.3951,1,None,None,0
San Francisco Giants,2017,2650,428,78.0,193,180,4.6,2000,17,41546,36,255.04,0.5370,3,None,NLDS,0
San Francisco Giants,2016,2250,409,72.6,198,172,4.5,2000,16,41678,34,241.13,0.5185,4,None,None,0
San Francisco Giants,2015,2000,387,68.4,176,165,4.5,2000,15,41589,32,239.51,0.5432,1,None,WS,1
San Francisco Giants,2014,1000,316,53.3,153,129,4.4,2000,14,41087,30,237.87,0.4691,1,None,None,0
San Francisco Giants,2013,786,262,17.6,148,129,4.3,2000,13,41696,27,224.32,0.5802,4,MVP,WS,1
San Francisco Giants,2012,643,230,9.0,137,110,4.3,2000,12,41819,25,208.15,0.5309,2,None,None,0
San Francisco Giants,2011,563,230,29.9,114,107,4.2,2000,11,37499,29,220.66,0.5679,1,None,WS,1
San Francisco Giants,2010,483,201,23.5,106,82,4.2,2000,10,35335,23,222.63,0.5432,1,Cy Young,None,0
San Francisco Giants,2009,471,196,22.4,103,78,4.2,2000,9,35356,22,183.74,0.4444,1,Cy Young,None,0
